user_id,days_since_last_bet,days_active_in_observation,live_bets_count,total_turnover,churn,churn_probability,risk_decile,risk_tier
USER_13202,71,1,3,22.23,1,0.8624530136649258,1,High
USER_14506,34,3,6,170.7,1,0.8533803089683104,1,High
USER_10656,36,4,6,41.34,0,0.8178349693578114,1,High
USER_15122,28,4,9,242.37,1,0.7980718372681792,1,High
USER_11704,10,3,5,117.65,1,0.7815166874226721,1,High
USER_17688,21,4,7,84.07,1,0.7698737296060949,1,High
USER_16240,25,5,8,18.32,1,0.7650862474994073,1,High
USER_15768,28,5,9,28.71,1,0.7539369878704449,1,High
USER_17497,36,5,7,119.56,1,0.7523606578429074,1,High
USER_10804,20,3,6,61.08,1,0.7502754959489762,1,High
USER_19020,37,2,6,24.18,1,0.7459758310793336,1,High
USER_15975,23,5,6,66.84,1,0.7454405657111965,1,High
USER_14267,11,4,8,115.6,1,0.7373782776739762,1,High
USER_13985,12,4,9,169.74,1,0.7340038656839021,1,High
USER_13021,48,5,11,87.67,0,0.729901317481744,1,High
USER_15171,12,3,7,60.13,1,0.7256838907494572,1,High
USER_16000,29,5,16,994.56,0,0.7252772241477081,1,High
USER_16901,1,5,9,295.47,1,0.7245528712700817,1,High
USER_13004,19,1,2,13.38,0,0.709865531361688,1,High
USER_15334,7,6,7,80.78,0,0.7058356839223416,1,High
USER_19847,43,3,10,179.3,1,0.7048655464728131,1,High
USER_14313,33,6,11,49.06,1,0.7018822721892833,1,High
USER_11427,15,4,8,88.8,1,0.7001625212980691,1,High
USER_19335,1,4,7,7.77,0,0.6997729505932158,1,High
USER_10889,16,5,11,228.58,0,0.69790712338168,1,High
USER_12496,8,3,7,27.51,0,0.6976178636836475,1,High
USER_18540,36,7,16,129.12,1,0.6961650700824112,1,High
USER_14746,20,6,13,182.78,1,0.6905845957818445,1,High
USER_14828,18,6,12,74.4,1,0.6885821344551807,1,High
USER_16259,20,5,9,50.94,1,0.6871366558722181,1,High
USER_19265,5,5,10,107.7,1,0.6850019889956567,1,High
USER_10131,44,5,13,129.22,1,0.6842489842726551,1,High
USER_15084,15,6,8,50.0,0,0.6826731542291883,1,High
USER_14064,17,3,10,116.3,0,0.6826195883946804,1,High
USER_14516,6,6,9,85.68,0,0.6770708035811783,1,High
USER_12266,31,4,13,178.1,1,0.675176420005075,1,High
USER_19194,10,3,9,47.88,1,0.6728755318117173,1,High
USER_12845,18,7,12,163.2,1,0.6699311447894738,1,High
USER_17624,23,3,9,72.72,1,0.6694929633721386,1,High
USER_11046,17,6,9,88.11,1,0.6689731726008495,1,High
USER_15340,15,6,12,281.28,1,0.6684513838220814,1,High
USER_14422,4,4,8,45.84,1,0.6653789203142688,1,High
USER_10932,59,2,10,84.9,1,0.6638265497848258,1,High
USER_15102,1,6,11,417.34,1,0.660730775902002,1,High
USER_10966,12,5,9,75.69,1,0.6561292294654717,1,High
USER_13275,5,4,9,130.5,1,0.6548842522540574,1,High
USER_17357,9,7,13,104.39,1,0.6542078294754258,1,High
